"","latrine","left","right"
"1","KK24",56,85
"2","KK24",0,53
"3","KK24",0,43
"4","KK24",30,36
"5","KK24",0,4
"6","KK24",37,42
"7","KK24",0,23
"8","KK24",0,15
"9","KK24",0,14
"10","KK24",0,14
"11","KK24",0,14
"12","KK24",0,14
"13","KK24",0,12
"14","KK24",0,21
"15","KK24",0,10
"16","KK24",0,14
"17","KK24",15,31
"18","KK24",0,14
"19","KK24",0,14
"20","KK12",23,56
"21","KK12",0,29
"22","KK12",0,53
"23","KK12",120,125
"24","KK12",23,38
"25","KK12",0,14
"26","KK12",0,14
"27","KK12",0,14
"28","KK12",0,14
"29","KK12",0,12
"30","KK12",31,45
"31","KK08",23,56
"32","KK08",0,29
"33","KK08",0,53
"34","KK08",0,43
"35","KK08",36,40
"36","KK08",37,42
"37","KK08",52,66
"38","KK08",14,28
"39","KK07",23,56
"40","KK07",0,29
"41","KK07",0,53
"42","KK07",0,43
"43","KK07",105,120
"44","KK07",14,28
"45","KK07",100,116
"46","KK06",85,138
"47","KK06",73,79
"48","KK06",69,84
"49","KK06",0,14
"50","KK06",28,42
"51","KK06",72,88
"52","KK02",85,138
"53","KK02",148,163
"54","KK04",23,56
"55","KK04",29,82
"56","KK04",0,43
"57","KK04",233,248
"58","KK02",56,85
"59","KK02",0,53
"60","KK06",23,56
"61","KK06",0,29
"62","KK06",0,53
"63","KK06",0,43
"64","KK06",105,120
"65","KK06",0,14
"66","KK08",56,85
"67","KK08",0,53
"68","KK08",0,43
"69","KK08",36,40
"70","KK08",80,94
"71","KK08",114,130
"72","KK08",0,14
"73","KK08",0,14
"74","KK07",56,85
"75","KK07",0,53
"76","KK07",0,43
"77","KK07",105,120
"78","KK07",113,128
"79","KK07",0,16
"80","KK07",0,14
"81","KK11",16,23
"82","KK11",33,62
"83","KK11",0,53
"84","KK11",0,43
"85","KK11",30,36
"86","KK11",0,4
"87","KK11",2,37
"88","KK11",0,5
"89","KK11",0,23
"90","KK11",0,15
"91","KK08",56,85
"92","KK08",0,53
"93","KK08",205,219
"94","KK08",0,12
"95","KK08",31,45
"96","KK08",0,15
"97","KK08",0,16
"98","KK08",0,14
"99","KK07",23,56
"100","KK07",0,29
"101","KK07",0,53
"102","KK07",191,205
"103","KK07",0,14
"104","KK07",0,12
"105","KK07",90,104
"106","KK06",301,315
"107","KK06",0,14
"108","KK06",0,14
"109","KK06",0,14
"110","KK06",0,12
"111","KK06",76,90
"112","KK15",16,23
"113","KK15",33,62
"114","KK15",0,53
"115","KK15",73,79
"116","KK15",4,6
"117","KK15",35,40
"118","KK15",38,52
"119","KK15",0,14
"120","KK15",14,28
"121","KK15",43,57
"122","KK15",0,15
"123","KK15",0,16
"124","KK15",0,14
"125","KK15",0,14
"126","KK14",23,56
"127","KK14",0,29
"128","KK14",0,53
"129","KK14",0,43
"130","KK14",30,36
"131","KK14",4,6
"132","KK14",35,40
"133","KK14",23,38
"134","KK14",0,14
"135","KK14",14,28
"136","KK14",86,102
"137","KK14",0,14
"138","KK14",0,14
"139","KK16",7,16
"140","KK16",7,40
"141","KK16",0,29
"142","KK16",0,53
"143","KK16",43,73
"144","KK16",0,6
"145","KK16",41,46
"146","KK16",23,38
"147","KK16",0,14
"148","KK16",14,28
"149","KK16",14,26
"150","KK16",45,60
"151","KK16",0,16
"152","KK16",0,14
"153","KK16",0,14
"154","KK16",7,16
"155","KK16",0,7
"156","KK16",0,33
"157","KK16",0,29
"158","KK16",0,53
"159","KK16",43,73
"160","KK16",90,104
"161","KK16",14,28
"162","KK16",0,14
"163","KK16",0,12
"164","KK16",31,45
"165","KK16",0,15
"166","KK16",0,16
"167","KK16",0,14
"168","KK16",0,14
"169","KK17",7,16
"170","KK17",0,7
"171","KK17",0,33
"172","KK17",0,29
"173","KK17",0,53
"174","KK17",83,85
"175","KK17",35,40
"176","KK17",23,38
"177","KK17",0,14
"178","KK17",14,28
"179","KK17",0,14
"180","KK17",0,12
"181","KK17",45,60
"182","KK17",0,16
"183","KK17",0,14
"184","KK17",0,14
"185","KK16",16,23
"186","KK16",33,62
"187","KK16",0,53
"188","KK16",0,43
"189","KK16",0,30
"190","KK16",10,12
"191","KK16",35,40
"192","KK16",23,38
"193","KK16",14,28
"194","KK16",0,14
"195","KK16",14,26
"196","KK16",45,60
"197","KK16",0,16
"198","KK16",0,14
"199","KK16",0,14
"200","KK11",7,16
"201","KK11",0,7
"202","KK11",33,62
"203","KK11",0,53
"204","KK11",148,163
"205","KK11",0,14
"206","KK11",99,114
"207","KK11",0,16
"208","KK11",0,14
"209","KK11",0,14
"210","KK17",7,16
"211","KK17",0,7
"212","KK17",33,62
"213","KK17",0,53
"214","KK17",0,43
"215","KK17",0,30
"216","KK17",52,75
"217","KK17",0,15
"218","KK17",0,14
"219","KK17",0,14
"220","KK17",0,14
"221","KK17",0,14
"222","KK17",57,72
"223","KK17",0,16
"224","KK17",0,14
"225","KK17",0,14
"226","KK15",7,16
"227","KK15",0,7
"228","KK15",33,62
"229","KK15",0,53
"230","KK15",120,125
"231","KK15",23,38
"232","KK15",0,14
"233","KK15",0,14
"234","KK15",0,14
"235","KK15",14,26
"236","KK15",21,31
"237","KK15",14,29
"238","KK15",0,16
"239","KK15",14,28
"240","KK17",7,16
"241","KK17",0,7
"242","KK17",62,115
"243","KK17",0,43
"244","KK17",0,30
"245","KK17",10,12
"246","KK17",35,40
"247","KK17",23,38
"248","KK17",28,42
"249","KK17",0,14
"250","KK17",33,43
"251","KK17",0,14
"252","KK17",0,15
"253","KK17",0,16
"254","KK17",0,14
"255","KK17",0,14
"256","KK20",7,16
"257","KK20",0,7
"258","KK20",0,33
"259","KK20",0,29
"260","KK20",0,53
"261","KK20",0,43
"262","KK20",0,30
"263","KK20",90,104
"264","KK20",0,14
"265","KK20",0,14
"266","KK20",0,14
"267","KK20",0,12
"268","KK20",21,31
"269","KK20",0,14
"270","KK20",0,15
"271","KK20",0,16
"272","KK20",0,14
"273","KK20",0,14
"274","KK17",16,23
"275","KK17",0,33
"276","KK17",0,29
"277","KK17",0,53
"278","KK17",0,43
"279","KK17",77,82
"280","KK17",38,52
"281","KK17",0,14
"282","KK17",0,14
"283","KK17",14,26
"284","KK17",21,31
"285","KK17",0,14
"286","KK17",0,15
"287","KK17",0,16
"288","KK17",0,14
"289","KK17",0,14
"290","KK18",16,23
"291","KK18",33,62
"292","KK18",0,53
"293","KK18",43,73
"294","KK18",0,6
"295","KK18",4,6
"296","KK18",35,40
"297","KK18",52,66
"298","KK18",0,14
"299","KK18",0,14
"300","KK18",0,12
"301","KK18",21,31
"302","KK18",0,14
"303","KK18",0,15
"304","KK18",0,16
"305","KK18",0,14
"306","KK18",0,14
"307","KK13",7,16
"308","KK13",0,7
"309","KK13",33,62
"310","KK13",0,53
"311","KK13",0,43
"312","KK13",77,82
"313","KK13",52,66
"314","KK13",28,40
"315","KK13",45,60
"316","KK13",0,16
"317","KK13",0,14
"318","KK13",0,14
"319","KK12",16,23
"320","KK12",278,292
"321","KK12",0,14
"322","KK12",0,14
"323","KK12",0,14
"324","KK12",0,12
"325","KK12",31,45
"326","KK12",0,15
"327","KK12",0,16
"328","KK12",0,14
"329","KK12",0,14
"330","KK20",23,56
"331","KK20",0,29
"332","KK20",0,53
"333","KK20",43,73
"334","KK20",0,6
"335","KK20",4,6
"336","KK20",35,40
"337","KK20",38,52
"338","KK20",0,14
"339","KK20",0,14
"340","KK20",0,14
"341","KK20",0,12
"342","KK20",21,31
"343","KK20",0,14
"344","KK20",0,15
"345","KK20",0,16
"346","KK20",0,14
"347","KK20",0,14
"348","KK15",7,16
"349","KK15",0,7
"350","KK15",33,62
"351","KK15",0,53
"352","KK15",0,43
"353","KK15",0,30
"354","KK15",47,52
"355","KK15",23,38
"356","KK15",0,14
"357","KK15",0,14
"358","KK15",0,14
"359","KK15",71,86
"360","KK15",0,16
"361","KK15",0,14
"362","KK14",7,16
"363","KK14",0,7
"364","KK14",33,62
"365","KK14",126,132
"366","KK14",69,84
"367","KK14",0,14
"368","KK14",14,28
"369","KK14",47,57
"370","KK14",0,14
"371","KK14",0,15
"372","KK14",0,16
"373","KK14",0,14
"374","KK14",0,14
"375","KK15",16,23
"376","KK15",33,62
"377","KK15",0,53
"378","KK15",73,79
"379","KK15",69,84
"380","KK15",0,14
"381","KK15",0,14
"382","KK15",0,14
"383","KK15",47,57
"384","KK15",0,14
"385","KK15",0,15
"386","KK15",0,16
"387","KK15",0,14
"388","KK15",0,14
