"";"siteID";"scatID";"Datetimei";"Datetimed";"Datetimeg";"durationd";"durationg"
"1";"Site-02";1;2024-08-13 17:18:00;2024-08-13 17:18:00;2024-08-14 12:14:00;0;0,788888888888889
"2";"Site-02";2;2024-08-15 19:12:00;2024-08-22 15:04:00;NA;6,82777777777778;NA
"3";"Site-02";3;2024-08-19 16:32:00;2024-08-22 15:04:00;NA;2,93888888888889;NA
"4";"Site-05";1;2024-08-04 16:33:00;2024-08-13 17:42:00;2024-08-14 12:44:00;9,04791666666667;9,84097222222222
"5";"Site-05";2;2024-08-08 18:21:00;2024-08-13 17:42:00;2024-08-14 12:44:00;4,97291666666667;5,76597222222222
"6";"Site-05";3;2024-08-08 18:21:00;2024-08-13 17:42:00;2024-08-14 12:44:00;4,97291666666667;5,76597222222222
"7";"Site-05";4;2024-08-08 18:21:00;2024-08-13 17:42:00;2024-08-14 12:44:00;4,97291666666667;5,76597222222222
"8";"Site-05";5;2024-08-10 15:30:00;2024-08-13 17:42:00;2024-08-14 12:44:00;3,09166666666667;3,88472222222222
"9";"Site-05";6;2024-08-13 17:42:00;2024-08-13 17:42:00;2024-08-14 12:44:00;0;0,793055555555556
"10";"Site-05";7;2024-08-22 15:27:00;2024-08-22 15:28:00;NA;0,000694444444444444;NA
"11";"Site-08";1;2024-08-03 17:54:00;NA;2024-08-14 12:50:00;NA;10,7888888888889
"12";"Site-08";2;2024-08-03 17:54:00;NA;2024-08-14 12:50:00;NA;10,7888888888889
"13";"Site-08";3;2024-08-04 16:45:00;NA;2024-08-14 12:50:00;NA;9,83680555555556
"14";"Site-08";4;2024-08-07 17:31:00;NA;2024-08-14 12:50:00;NA;6,80486111111111
"15";"Site-08";5;2024-08-09 12:51:00;NA;2024-08-14 12:50:00;NA;4,99930555555556
"16";"Site-08";6;2024-08-10 15:40:00;NA;2024-08-14 12:50:00;NA;3,88194444444444
"17";"Site-08";7;2024-08-11 16:34:00;NA;2024-08-14 12:50:00;NA;2,84444444444444
"18";"Site-08";8;2024-08-11 16:34:00;NA;2024-08-14 12:50:00;NA;2,84444444444444
"19";"Site-08";9;2024-08-11 16:34:00;NA;2024-08-14 12:50:00;NA;2,84444444444444
"20";"Site-08";10;2024-08-15 19:53:00;2024-08-22 15:47:00;NA;6,82916666666667;NA
"21";"Site-08";11;2024-08-16 19:07:00;2024-08-22 15:47:00;NA;5,86111111111111;NA
"22";"Site-08";12;2024-08-17 17:40:00;2024-08-22 15:47:00;NA;4,92152777777778;NA
"23";"Site-08";13;2024-08-18 17:03:00;2024-08-22 15:47:00;NA;3,94722222222222;NA
"24";"Site-08";14;2024-08-21 17:44:00;2024-08-22 15:47:00;NA;0,91875;NA
"25";"Site-09";1;2024-08-03 17:57:00;2024-08-13 18:16:00;2024-08-14 12:52:00;10,0131944444444;10,7881944444444
"26";"Site-09";2;2024-08-03 17:57:00;2024-08-13 18:16:00;2024-08-14 12:52:00;10,0131944444444;10,7881944444444
"27";"Site-09";3;2024-08-04 16:51:00;2024-08-05 17:16:00;2024-08-06 17:48:00;1,01736111111111;2,03958333333333
"28";"Site-09";4;2024-08-05 17:16:00;2024-08-05 17:16:00;2024-08-06 17:48:00;0;1,02222222222222
"29";"Site-09";5;2024-08-06 17:48:00;2024-08-13 18:16:00;2024-08-14 12:52:00;7,01944444444444;7,79444444444444
"30";"Site-09";6;2024-08-07 17:37:00;2024-08-13 18:16:00;2024-08-14 12:52:00;6,02708333333333;6,80208333333333
"31";"Site-09";7;2024-08-08 18:34:00;2024-08-13 18:16:00;2024-08-14 12:52:00;4,9875;5,7625
"32";"Site-09";8;2024-08-08 18:34:00;2024-08-13 18:16:00;2024-08-14 12:52:00;4,9875;5,7625
"33";"Site-09";9;2024-08-08 18:34:00;2024-08-13 18:16:00;2024-08-14 12:52:00;4,9875;5,7625
"34";"Site-09";10;2024-08-15 20:00:00;2024-08-22 16:02:00;NA;6,83472222222222;NA
"35";"Site-09";11;2024-08-16 19:05:00;2024-08-22 16:02:00;NA;5,87291666666667;NA
"36";"Site-09";12;2024-08-17 17:45:00;2024-08-22 16:02:00;NA;4,92847222222222;NA
"37";"Site-09";13;2024-08-17 17:45:00;2024-08-22 16:02:00;NA;4,92847222222222;NA
"38";"Site-09";14;2024-08-17 17:45:00;2024-08-22 16:02:00;NA;4,92847222222222;NA
"39";"Site-09";15;2024-08-18 17:09:00;2024-08-22 16:02:00;NA;3,95347222222222;NA
"40";"Site-09";16;2024-08-19 17:07:00;2024-08-22 16:02:00;NA;2,95486111111111;NA
"41";"Site-09";17;2024-08-20 16:28:00;2024-08-22 16:02:00;NA;1,98194444444444;NA
"42";"Site-09";18;2024-08-20 16:28:00;2024-08-22 16:02:00;NA;1,98194444444444;NA
"43";"Site-09";19;2024-08-20 16:28:00;2024-08-22 16:02:00;NA;1,98194444444444;NA
"44";"Site-09";20;2024-08-21 17:38:00;2024-08-22 16:02:00;NA;0,933333333333333;NA
"45";"Site-09";21;2024-08-21 17:38:00;2024-08-22 16:02:00;NA;0,933333333333333;NA
"46";"Site-09";22;2024-08-21 17:38:00;2024-08-22 16:02:00;NA;0,933333333333333;NA
"47";"Site-09";23;2024-08-22 16:01:00;2024-08-22 16:02:00;NA;0,000694444444444444;NA
"48";"Site-10";1;2024-08-01 18:25:00;2024-08-13 18:28:00;2024-08-14 12:56:00;12,0020833333333;12,7715277777778
"49";"Site-10";2;2024-08-03 18:01:00;2024-08-13 18:28:00;2024-08-14 12:56:00;10,01875;10,7881944444444
"50";"Site-10";3;2024-08-03 18:01:00;2024-08-13 18:28:00;2024-08-14 12:56:00;10,01875;10,7881944444444
"51";"Site-10";4;2024-08-06 17:55:00;2024-08-13 18:28:00;2024-08-14 12:56:00;7,02291666666667;7,79236111111111
"52";"Site-10";5;2024-08-13 18:28:00;2024-08-13 18:28:00;2024-08-14 12:56:00;0;0,769444444444444
"53";"Site-10";6;2024-08-18 17:23:00;2024-08-22 16:36:00;NA;3,96736111111111;NA
"54";"Site-10";7;2024-08-18 17:23:00;2024-08-22 16:36:00;NA;3,96736111111111;NA
"55";"Site-22";1;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"56";"Site-22";2;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"57";"Site-22";3;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"58";"Site-22";4;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"59";"Site-22";5;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"60";"Site-22";6;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"61";"Site-22";7;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"62";"Site-22";8;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"63";"Site-22";9;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"64";"Site-22";10;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"65";"Site-22";11;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"66";"Site-22";12;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"67";"Site-22";13;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"68";"Site-22";14;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"69";"Site-22";15;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"70";"Site-22";16;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"71";"Site-22";17;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"72";"Site-22";18;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"73";"Site-22";19;2024-08-01 17:50:00;2024-08-13 18:57:00;2024-08-14 13:05:00;12,0465277777778;12,8020833333333
"74";"Site-22";20;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"75";"Site-22";21;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"76";"Site-22";22;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"77";"Site-22";23;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"78";"Site-22";24;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"79";"Site-22";25;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"80";"Site-22";26;2024-08-02 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;11,0229166666667;11,7784722222222
"81";"Site-22";27;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"82";"Site-22";28;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"83";"Site-22";29;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"84";"Site-22";30;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"85";"Site-22";31;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"86";"Site-22";32;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"87";"Site-22";33;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"88";"Site-22";34;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"89";"Site-22";35;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"90";"Site-22";36;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"91";"Site-22";37;2024-08-03 18:24:00;2024-08-13 18:57:00;2024-08-14 13:05:00;10,0229166666667;10,7784722222222
"92";"Site-22";38;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"93";"Site-22";39;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"94";"Site-22";40;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"95";"Site-22";41;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"96";"Site-22";42;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"97";"Site-22";43;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"98";"Site-22";44;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"99";"Site-22";45;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"100";"Site-22";46;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"101";"Site-22";47;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"102";"Site-22";48;2024-08-04 17:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;9,06527777777778;9,82083333333333
"103";"Site-22";49;2024-08-05 17:45:00;2024-08-13 18:57:00;2024-08-14 13:05:00;8,05;8,80555555555556
"104";"Site-22";50;2024-08-05 17:45:00;2024-08-13 18:57:00;2024-08-14 13:05:00;8,05;8,80555555555556
"105";"Site-22";51;2024-08-06 18:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;7,02569444444444;7,78125
"106";"Site-22";52;2024-08-06 18:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;7,02569444444444;7,78125
"107";"Site-22";53;2024-08-06 18:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;7,02569444444444;7,78125
"108";"Site-22";54;2024-08-07 18:09:00;2024-08-13 18:57:00;2024-08-14 13:05:00;6,03333333333333;6,78888888888889
"109";"Site-22";55;2024-08-08 18:58:00;2024-08-13 18:57:00;2024-08-14 13:05:00;4,99930555555556;5,75486111111111
"110";"Site-22";56;2024-08-08 18:58:00;2024-08-13 18:57:00;2024-08-14 13:05:00;4,99930555555556;5,75486111111111
"111";"Site-22";57;2024-08-08 18:58:00;2024-08-13 18:57:00;2024-08-14 13:05:00;4,99930555555556;5,75486111111111
"112";"Site-22";58;2024-08-09 13:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;4,23194444444444;4,9875
"113";"Site-22";59;2024-08-09 13:23:00;2024-08-13 18:57:00;2024-08-14 13:05:00;4,23194444444444;4,9875
"114";"Site-22";60;2024-08-10 16:36:00;2024-08-13 18:57:00;2024-08-14 13:05:00;3,09791666666667;3,85347222222222
"115";"Site-22";61;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"116";"Site-22";62;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"117";"Site-22";63;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"118";"Site-22";64;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"119";"Site-22";65;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"120";"Site-22";66;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"121";"Site-22";67;2024-08-11 17:20:00;2024-08-13 18:57:00;2024-08-14 13:05:00;2,06736111111111;2,82291666666667
"122";"Site-22";68;2024-08-12 17:38:00;2024-08-13 18:57:00;2024-08-14 13:05:00;1,05486111111111;1,81041666666667
"123";"Site-22";69;2024-08-12 17:38:00;2024-08-13 18:57:00;2024-08-14 13:05:00;1,05486111111111;1,81041666666667
"124";"Site-22";70;2024-08-12 17:38:00;2024-08-13 18:57:00;2024-08-14 13:05:00;1,05486111111111;1,81041666666667
"125";"Site-22";71;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"126";"Site-22";72;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"127";"Site-22";73;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"128";"Site-22";74;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"129";"Site-22";75;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"130";"Site-22";76;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"131";"Site-22";77;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"132";"Site-22";78;2024-08-13 18:54:00;2024-08-13 18:57:00;2024-08-14 13:05:00;0,00208333333333333;0,757638888888889
"133";"Site-22";79;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"134";"Site-22";80;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"135";"Site-22";81;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"136";"Site-22";82;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"137";"Site-22";83;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"138";"Site-22";84;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"139";"Site-22";85;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"140";"Site-22";86;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"141";"Site-22";87;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"142";"Site-22";88;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"143";"Site-22";89;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"144";"Site-22";90;2024-08-15 17:45:00;2024-08-22 18:38:00;NA;7,03680555555556;NA
"145";"Site-22";91;2024-08-16 18:45:00;2024-08-22 18:38:00;NA;5,99513888888889;NA
"146";"Site-22";92;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"147";"Site-22";93;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"148";"Site-22";94;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"149";"Site-22";95;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"150";"Site-22";96;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"151";"Site-22";97;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"152";"Site-22";98;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"153";"Site-22";99;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"154";"Site-22";100;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"155";"Site-22";101;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"156";"Site-22";102;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"157";"Site-22";103;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"158";"Site-22";104;2024-08-17 18:40:00;2024-08-22 18:38:00;NA;4,99861111111111;NA
"159";"Site-22";105;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"160";"Site-22";106;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"161";"Site-22";107;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"162";"Site-22";108;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"163";"Site-22";109;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"164";"Site-22";110;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"165";"Site-22";111;2024-08-18 18:02:00;2024-08-22 18:38:00;NA;4,025;NA
"166";"Site-22";112;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"167";"Site-22";113;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"168";"Site-22";114;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"169";"Site-22";115;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"170";"Site-22";116;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"171";"Site-22";117;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"172";"Site-22";118;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"173";"Site-22";119;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"174";"Site-22";120;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"175";"Site-22";121;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"176";"Site-22";122;2024-08-19 17:41:00;2024-08-22 18:38:00;NA;3,03958333333333;NA
"177";"Site-22";123;2024-08-21 17:06:00;2024-08-22 18:38:00;NA;1,06388888888889;NA
