"";"siteID";"Datetimei";"Datetimed";"Datetimeg";"durationd";"durationg"
"1";"Site-01";2024-02-05 10:00:00;2024-02-27 10:36:00;NA;22,025;NA
"2";"Site-02";2024-02-05 10:15:00;2024-02-27 10:46:00;NA;22,0215277777778;NA
"3";"Site-03";2024-02-05 10:30:00;2024-02-27 10:56:00;NA;22,0180555555556;NA
"4";"Site-04";2024-02-05 10:45:00;2024-02-27 11:06:00;NA;22,0145833333333;NA
"5";"Site-05";2024-02-05 11:00:00;2024-02-27 11:16:00;NA;22,0111111111111;NA
"6";"Site-06";2024-02-05 11:15:00;2024-02-13 12:29:00;2024-02-14 12:59:00;8,05138888888889;9,07222222222222
"7";"Site-07";2024-02-05 11:30:00;2024-02-27 11:36:00;NA;22,0041666666667;NA
"8";"Site-08";2024-02-05 11:45:00;2024-02-12 13:15:00;2024-02-13 12:39:00;7,0625;8,0375
"9";"Site-09";2024-02-05 12:00:00;2024-02-07 13:02:00;2024-02-08 12:45:00;2,04305555555556;3,03125
"10";"Site-10";2024-02-05 12:15:00;2024-02-27 12:06:00;NA;21,99375;NA
"11";"Site-11";2024-02-05 12:30:00;2024-02-13 12:50:00;2024-02-14 13:14:00;8,01388888888889;9,03055555555556
"12";"Site-12";2024-02-05 12:45:00;2024-02-27 12:36:00;NA;21,99375;NA
"13";"Site-13";2024-02-05 13:00:00;2024-02-27 12:56:00;NA;21,9972222222222;NA
"14";"Site-14";2024-02-05 13:15:00;2024-02-27 13:16:00;NA;22,0006944444444;NA
"15";"Site-15";2024-02-05 13:30:00;2024-02-27 13:36:00;NA;22,0041666666667;NA
"16";"Site-16";2024-02-05 13:45:00;2024-02-27 13:56:00;NA;22,0076388888889;NA
"17";"Site-17";2024-02-05 14:00:00;2024-02-27 14:16:00;NA;22,0111111111111;NA
"18";"Site-18";2024-02-05 14:15:00;2024-02-27 14:36:00;NA;22,0145833333333;NA
"19";"Site-19";2024-02-05 14:30:00;2024-02-27 14:56:00;NA;22,0180555555556;NA
"20";"Site-20";2024-02-05 14:45:00;2024-02-27 15:16:00;NA;22,0215277777778;NA
"21";"Site-21";2024-02-05 15:00:00;2024-02-18 14:18:00;2024-02-19 14:18:00;12,9708333333333;13,9708333333333
"22";"Site-22";2024-02-05 15:15:00;2024-02-12 14:12:00;2024-02-13 13:28:00;6,95625;7,92569444444444
"23";"Site-23";2024-02-05 15:30:00;2024-02-18 14:30:00;2024-02-19 14:30:00;12,9583333333333;13,9583333333333
"24";"Site-24";2024-02-05 15:45:00;2024-02-27 16:20:00;NA;22,0243055555556;NA
"25";"Site-25";2024-02-05 16:00:00;2024-02-27 16:30:00;NA;22,0208333333333;NA
"26";"Site-26";2024-02-05 16:15:00;2024-02-27 16:40:00;NA;22,0173611111111;NA
"27";"Site-27";2024-02-05 16:30:00;2024-02-10 13:57:00;2024-02-11 13:55:00;4,89375;5,89236111111111
"28";"Site-28";2024-02-05 16:45:00;2024-02-27 17:00:00;NA;22,0104166666667;NA
"29";"Site-29";2024-02-05 17:00:00;2024-02-11 14:07:00;2024-02-12 14:51:00;5,87986111111111;6,91041666666667
"30";"Site-30";2024-02-05 17:15:00;2024-02-05 17:15:00;2024-02-06 16:50:00;0;0,982638888888889
"31";"Site-31";2024-02-05 17:30:00;2024-02-05 17:30:00;2024-02-06 17:00:00;0;0,979166666666667
"32";"Site-32";2024-02-05 17:45:00;2024-02-27 17:40:00;NA;21,9965277777778;NA
"33";"Site-33";2024-02-05 18:00:00;2024-02-10 14:23:00;2024-02-11 14:30:00;4,84930555555556;5,85416666666667
"34";"Site-34";2024-02-06 10:00:00;2024-02-27 18:00:00;NA;21,3333333333333;NA
"35";"Site-35";2024-02-06 10:15:00;2024-02-27 18:10:00;NA;21,3298611111111;NA
"36";"Site-36";2024-02-06 10:30:00;2024-02-27 18:20:00;NA;21,3263888888889;NA
"37";"Site-37";2024-02-06 10:45:00;2024-02-12 15:39:00;2024-02-13 16:22:00;6,20416666666667;7,23402777777778
"38";"Site-38";2024-02-06 11:00:00;2024-02-18 16:32:00;2024-02-19 16:32:00;12,2305555555556;13,2305555555556
"39";"Site-39";2024-02-06 11:15:00;2024-02-16 16:42:00;2024-02-17 16:42:00;10,2270833333333;11,2270833333333
"40";"Site-40";2024-02-06 11:30:00;2024-02-06 11:30:00;2024-02-07 17:12:00;0;1,2375
"41";"Site-06";2024-02-14 12:59:00;2024-02-27 11:26:00;NA;12,9354166666667;NA
"42";"Site-08";2024-02-13 12:39:00;2024-02-27 11:46:00;NA;13,9631944444444;NA
"43";"Site-09";2024-02-08 12:45:00;2024-02-08 12:45:00;2024-02-09 16:29:00;0;1,15555555555556
"44";"Site-11";2024-02-14 13:14:00;2024-02-16 13:38:00;2024-02-17 13:38:00;2,01666666666667;3,01666666666667
"45";"Site-21";2024-02-19 14:18:00;2024-02-27 15:36:00;NA;8,05416666666667;NA
"46";"Site-22";2024-02-13 13:28:00;2024-02-14 13:36:00;2024-02-15 14:24:00;1,00555555555556;2,03888888888889
"47";"Site-23";2024-02-19 14:30:00;2024-02-27 16:10:00;NA;8,06944444444444;NA
"48";"Site-27";2024-02-11 13:55:00;2024-02-14 14:06:00;2024-02-15 14:54:00;3,00763888888889;4,04097222222222
"49";"Site-29";2024-02-12 14:51:00;2024-02-12 14:51:00;2024-02-13 14:11:00;0;0,972222222222222
"50";"Site-30";2024-02-06 16:50:00;2024-02-06 16:50:00;2024-02-07 14:42:00;0;0,911111111111111
"51";"Site-31";2024-02-06 17:00:00;2024-02-06 17:00:00;2024-02-07 14:49:00;0;0,909027777777778
"52";"Site-33";2024-02-11 14:30:00;2024-02-13 14:30:00;2024-02-14 14:42:00;2;3,00833333333333
"53";"Site-37";2024-02-13 16:22:00;2024-02-13 16:22:00;2024-02-14 18:10:00;0;1,075
"54";"Site-38";2024-02-19 16:32:00;2024-02-20 08:18:00;2024-02-21 08:18:00;0,656944444444444;1,65694444444444
"55";"Site-39";2024-02-17 16:42:00;2024-02-27 18:50:00;NA;10,0888888888889;NA
"56";"Site-40";2024-02-07 17:12:00;2024-02-18 16:52:00;2024-02-19 16:52:00;10,9861111111111;11,9861111111111
"57";"Site-09";2024-02-09 16:29:00;2024-02-10 12:47:00;2024-02-11 12:47:00;0,845833333333333;1,84583333333333
"58";"Site-11";2024-02-17 13:38:00;2024-02-17 13:38:00;2024-02-18 13:38:00;0;1
"59";"Site-22";2024-02-15 14:24:00;2024-02-18 14:24:00;2024-02-19 14:24:00;3;4
"60";"Site-27";2024-02-15 14:54:00;2024-02-27 16:50:00;NA;12,0805555555556;NA
"61";"Site-29";2024-02-13 14:11:00;2024-02-13 14:11:00;2024-02-14 14:25:00;0;1,00972222222222
"62";"Site-30";2024-02-07 14:42:00;2024-02-07 14:42:00;2024-02-08 09:56:00;0;0,801388888888889
"63";"Site-31";2024-02-07 14:49:00;2024-02-16 15:46:00;2024-02-17 15:46:00;9,03958333333333;10,0395833333333
"64";"Site-33";2024-02-14 14:42:00;2024-02-17 15:54:00;2024-02-18 15:54:00;3,05;4,05
"65";"Site-37";2024-02-14 18:10:00;2024-02-16 16:22:00;2024-02-17 16:22:00;1,925;2,925
"66";"Site-38";2024-02-21 08:18:00;2024-02-27 18:40:00;NA;6,43194444444444;NA
"67";"Site-40";2024-02-19 16:52:00;2024-02-27 19:00:00;NA;8,08888888888889;NA
"68";"Site-09";2024-02-11 12:47:00;2024-02-11 12:47:00;2024-02-12 13:20:00;0;1,02291666666667
"69";"Site-11";2024-02-18 13:38:00;2024-02-18 13:38:00;2024-02-19 13:38:00;0;1
"70";"Site-22";2024-02-19 14:24:00;2024-02-19 14:24:00;2024-02-20 20:39:30;0;1,26076388888889
"71";"Site-29";2024-02-14 14:25:00;2024-02-14 14:25:00;2024-02-15 15:26:00;0;1,04236111111111
"72";"Site-30";2024-02-08 09:56:00;2024-02-10 14:06:00;2024-02-11 14:12:00;2,17361111111111;3,17777777777778
"73";"Site-31";2024-02-17 15:46:00;2024-02-19 15:46:00;2024-02-20 20:57:00;2;3,21597222222222
"74";"Site-33";2024-02-18 15:54:00;2024-02-27 17:50:00;NA;9,08055555555556;NA
"75";"Site-37";2024-02-17 16:22:00;2024-02-18 16:22:00;2024-02-19 16:22:00;1;2
"76";"Site-09";2024-02-12 13:20:00;2024-02-12 13:20:00;2024-02-13 12:44:00;0;0,975
"77";"Site-11";2024-02-19 13:38:00;2024-02-19 13:38:00;2024-02-20 20:22:00;0;1,28055555555556
"78";"Site-22";2024-02-20 20:39:30;2024-02-24 16:14:00;2024-02-25 14:46:00;3,815625;4,75451388888889
"79";"Site-29";2024-02-15 15:26:00;2024-02-19 15:26:00;2024-02-20 20:50:00;4;5,225
"80";"Site-30";2024-02-11 14:12:00;2024-02-11 14:12:00;2024-02-12 15:03:00;0;1,03541666666667
"81";"Site-31";2024-02-20 20:57:00;2024-02-23 13:24:00;2024-02-24 16:25:00;2,68541666666667;3,81111111111111
"82";"Site-37";2024-02-19 16:22:00;2024-02-20 08:14:00;2024-02-21 08:14:00;0,661111111111111;1,66111111111111
"83";"Site-09";2024-02-13 12:44:00;2024-02-13 12:44:00;2024-02-14 13:05:00;0;1,01458333333333
"84";"Site-11";2024-02-20 20:22:00;2024-02-20 20:22:00;2024-02-21 19:36:00;0;0,968055555555556
"85";"Site-22";2024-02-25 14:46:00;2024-02-27 16:00:00;NA;2,05138888888889;NA
"86";"Site-29";2024-02-20 20:50:00;2024-02-27 17:10:00;NA;6,84722222222222;NA
"87";"Site-30";2024-02-12 15:03:00;2024-02-12 15:03:00;2024-02-13 14:18:00;0;0,96875
"88";"Site-31";2024-02-24 16:25:00;2024-02-27 17:30:00;NA;3,04513888888889;NA
"89";"Site-37";2024-02-21 08:14:00;2024-02-27 18:30:00;NA;6,42777777777778;NA
"90";"Site-09";2024-02-14 13:05:00;2024-02-14 13:05:00;2024-02-15 13:30:00;0;1,01736111111111
"91";"Site-11";2024-02-21 19:36:00;2024-02-27 12:16:00;NA;5,69444444444444;NA
"92";"Site-30";2024-02-13 14:18:00;2024-02-17 15:42:00;2024-02-18 15:42:00;4,05833333333333;5,05833333333333
"93";"Site-09";2024-02-15 13:30:00;2024-02-16 13:30:00;2024-02-17 13:30:00;1;2
"94";"Site-30";2024-02-18 15:42:00;2024-02-27 17:20:00;NA;9,06805555555556;NA
"95";"Site-09";2024-02-17 13:30:00;2024-02-18 13:30:00;2024-02-19 13:30:00;1;2
"96";"Site-09";2024-02-19 13:30:00;2024-02-19 13:30:00;2024-02-20 20:13:00;0;1,27986111111111
"97";"Site-09";2024-02-20 20:13:00;2024-02-20 20:13:00;2024-02-21 19:31:00;0;0,970833333333333
"98";"Site-09";2024-02-21 19:31:00;2024-02-27 11:56:00;NA;5,68402777777778;NA
